Manuscript N°	Page N°	Title	Type	Description	General description	IIIF 
	045v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0047/full/full/0/default.jpg
	047r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0048/full/full/0/default.jpg
	050r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0051/full/full/0/default.jpg
	051v	Jonah in the Belly of the Whale	marginal miniature	Jonah	human	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0053/full/full/0/default.jpg
				whale	mammal	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0053/full/full/0/default.jpg
				gourd	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0053/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0053/full/full/0/default.jpg
	054v		headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0056/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0056/full/full/0/default.jpg
	056r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0057/full/full/0/default.jpg
	060v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0062/full/full/0/default.jpg
	062v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0064/full/full/0/default.jpg
	066v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0068/full/full/0/default.jpg
	068v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0070/full/full/0/default.jpg
	071v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0073/full/full/0/default.jpg
	075r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0076/full/full/0/default.jpg
	076r		marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0077/full/full/0/default.jpg
				bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0077/full/full/0/default.jpg
