ID	Cat. Number	Location	Country	Town	Permalink	Digital Library	Support	Date	Pages	Size	Title	Note	Genre	IIIF Manifest
MAF67	67	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md32r494zh3n	ARCA	Paper	1800-1899	132 pages	19.7 x 14.5 cm	Livre des prophéties	Ms.	Undefined	https://api.irht.cnrs.fr/ark:/63955/f8rtt2mxvzaw/manifest.json
MAF68	68	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md19s1787g9q	ARCA	Paper	1800-1899	752 pages	21.2 x 16.5 cm	Bible	Ms.	Bible	https://api.irht.cnrs.fr/ark:/63955/fyxi9h7jyvw3/manifest.json
MAF80	80	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md80vq282p99	ARCA	Parchment	1100-1199	1 folio	32.7 x 23.5 cm	Évangéliaire	Frag.		https://api.irht.cnrs.fr/ark:/63955/fm7hcf36w9sn/manifest.json
MAF81	81	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md687h14dr8f	ARCA	Parchment	1100-1199	1 folio	32.7 x 23.5 cm	Évangéliaire	Frag.		https://api.irht.cnrs.fr/ark:/63955/fje4gdudq18l/manifest.json
MAF82	82	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md25x633hx4d	ARCA	Paper	1400-1599	1 folio	27 x 20 cm	Évangéliaire	Frag.		https://api.irht.cnrs.fr/ark:/63955/ftenvomvcz58/manifest.json
MAF83	83	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md558c97pr4n	ARCA	Paper	1300-1499	1 folio	16.4 x 13 cm	Évangéliaire	Frag.		https://api.irht.cnrs.fr/ark:/63955/fy5747dioejr/manifest.json
MAF84	84	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md29b5647q3q	ARCA	Parchment	1500-1699	4 folios	11.6 x 9.1 cm	Hymnaire	Frag.	Liturgy	https://api.irht.cnrs.fr/ark:/63955/ffqa4hgwt5id/manifest.json
MAF85	85	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md429880zq7z	ARCA	Parchment	1300-1499	10 folios	17.4 x 12.7 cm	Évangéliaire	Frag.		https://api.irht.cnrs.fr/ark:/63955/f0mazgah0zes/manifest.json
MAF122	122	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md77sn00f02m	ARCA	Paper	1700-1799		24.6 x 9.3 cm	Amulette	Frag.		https://api.irht.cnrs.fr/ark:/63955/fr0iurl2bax7/manifest.json
MAF123	123	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md16c247hp95	ARCA	Paper	1700-1799		27.3 x 9 cm	Amulette	Frag.		https://api.irht.cnrs.fr/ark:/63955/fozvdfoy8txk/manifest.json
